Team    Player
Team Solomid.    dupreeh
Team Solomid.    device
Team Solomid.    Xyp9x
Team Solomid.    cajunb
Team Solomid.    karrigan
fnatic    pronax
fnatic    JW
fnatic    flusha
fnatic    KriMZ
fnatic    Xyp9x
fnatic    karrigan
fnatic    f0rest
fnatic    olofmiester
Ninjas in Pyjamas    Xizt
Ninjas in Pyjamas    f0rest
Ninjas in Pyjamas    Get_RiGhT
Ninjas in Pyjamas    friberg
Ninjas in Pyjamas    allu
Natus Vincere    Zeus
Natus Vincere    Edward
Natus Vincere    seized
Natus Vincere    GuardiaN
Natus Vincere    flamie
Virtus.Pro.CS    TaZ
Virtus.Pro.CS    byali
Virtus.Pro.CS    GuardiaN
Virtus.Pro.CS    Neo
Virtus.Pro.CS    pasha
Virtus.Pro.CS    MICHU
Virtus.Pro.CS    minise
Virtus.Pro.CS    Snax
Team EnVyUs    Happy
Team EnVyUs    NBK
Team EnVyUs    kioShiMa
Team EnVyUs    shox
Team EnVyUs    SmithZz
Team Dignitas.CS    pimp
Team Dignitas.CS    Kjaerbye
Team Dignitas.CS    Nico
Team Dignitas.CS    aizy
Team Dignitas.CS    dupreeh
Team Dignitas.CS    device
Team Dignitas.CS    Xyp9x
Team Dignitas.CS    cajunb
Team Dignitas.CS    karrigan
Team Dignitas.CS    FeTiSh
Titan.CS    Ex6Tenz
Titan.CS    kennyS
Titan.CS    apEX
Titan.CS    SmithZz
Titan.CS    Maniac
Titan.CS    shox
Titan.CS    NBK
Titan.CS	RpK
Counter Logic Gaming.CS    FNS
Counter Logic Gaming.CS    reltuC
Counter Logic Gaming.CS    Hazed
Counter Logic Gaming.CS    tarik
Counter Logic Gaming.CS    Lucky
Gamers2    szpero
Gamers2    innocent
Gamers2    mouz
Gamers2    minise
Gamers2    rallen
Gamers2    MICHU
mousesports.CS    LEGIJA
mousesports.CS    chrisj
mousesports.CS	gob b
mousesports.CS	Nikolinho
mousesports.CS	tabseN
mousesports.CS	nex
mousesports.CS	karrigan
mousesports.CS	denis
mousesports.CS	allu
mousesports.CS	Spiidi
Team Immunity.CS	SnypeR
Team Immunity.CS	Rickeh
Team Immunity.CS	james
Team Immunity.CS	emagine
Team Immunity.CS	USTILO
